iter	RMSE
420	147870.8915
421	147735.1434
422	147603.6561
423	147398.8974
424	147087.7212
425	146844.7483
426	146725.164
427	146454.3648
428	146174.0321
429	145897.8027
430	145882.972
431	145457.1021
432	145181.1263
433	145034.8805
434	145016.3156
435	144850.0177
436	144672.456
437	144411.0345
438	144015.0027
439	143805.5845
440	143576.5045
441	143457.8198
442	143245.8724
443	142968.0106
444	142781.8112
445	142669.3847
446	142497.4427
447	142238.7619
448	141961.5239
449	141654.2982
450	141357.4671
451	141088.7875
452	141071.6716
453	140811.2059
454	140668.1479
455	140365.2116
456	140352.4611
457	140116.8473
458	139855.3447
459	139654.25
460	139351.3318
461	139106.1466
462	138904.4135
463	138889.8314
464	138668.3769
465	138490.344
466	138375.0446
467	138323.2217
468	138311.382
469	138062.9599
470	137876.2695
471	137670.1961
472	137449.512
473	137252.2356
474	137133.9968
475	136939.4881
476	136798.833
477	136499.292
478	136299.8234
479	136028.9387
480	135742.5791
481	135644.7359
482	135425.2253
483	135322.2714
484	135001.4248
485	134683.5265
486	134533.2582
487	134371.4838
488	134205.9946
489	134108.2785
490	133872.2584
491	133694.0276
492	133482.6337
493	133321.5732
494	133047.919
495	132834.6026
496	132529.3579
497	132377.192
498	132168.5279
499	131841.6409
500	131678.713
501	131464.5632
502	131290.714
503	131122.4369
504	130915.1414
505	130714.8452
506	130602.7678
507	130440.2334
508	130272.5011
509	129999.4457
510	129773.337
511	129683.2164
512	129445.5173
513	129243.6906
514	128988.4072
515	128727.4065
516	128533.9196
517	128302.9846
518	128144.2543
519	127871.7044
520	127785.4365
521	127596.6574
522	127323.501
523	127031.5696
524	126832.0341
525	126659.618
526	126528.3139
527	126350.635
528	126183.2221
529	126021.337
530	125804.1051
531	125613.5928
532	125533.6691
533	125257.0421
534	125112.4885
535	124991.3213
536	124836.6053
537	124739.1026
538	124580.403
539	124458.7518
540	124285.8668
541	124168.2127
542	123957.0054
543	123765.9747
544	123635.8687
545	123544.7276
546	123449.1
547	123368.9553
548	123058.3589
549	122834.7054
550	122699.8681
551	122560.8763
552	122470.3703
553	122340.0866
554	122190.2945
555	122000.8844
556	121807.6113
557	121671.2197
558	121528.7362
559	121396.7791
560	121244.1778
561	120996.9577
562	120885.4322
563	120616.9483
564	120446.1542
565	120339.018
566	120201.4297
567	119965.9896
568	119868.545
569	119776.9233
570	119631.7778
571	119561.7222
572	119413.9835
573	119268.9376
574	119103.8042
575	118973.0122
576	118849.3493
577	118630.9438
578	118402.5242
579	118335.0497
580	118087.6652
581	117902.6013
582	117737.5584
583	117643.9065
584	117401.3814
585	117211.8441
586	117027.0289
587	116888.4142
588	116774.9065
589	116533.4331
590	116377.8194
591	116255.1782
592	116093.0621
593	115963.0173
594	115747.639
595	115569.1288
596	115413.8212
597	115360.1341
598	115228.4785
599	115098.0727
600	114932.3267
601	114775.5053
602	114567.2678
603	114459.1217
604	114357.839
605	114196.9784
606	114096.1352
607	114008.2064
608	113870.2978
609	113775.6676
610	113583.7641
611	113443.254
612	113198.2737
613	113034.3744
614	112843.6075
615	112718.647
616	112650.6935
617	112546.0488
618	112473.2691
619	112430.1473
620	112284.5255
621	112092.5478
622	111900.7641
623	111715.9946
624	111529.468
625	111440.1023
626	111396.241
627	111286.2319
628	111151.1267
629	111055.4752
630	110870.1708
631	110782.8455
632	110725.526
633	110579.0762
634	110472.3194
635	110404.0297
636	110293.3165
637	110101.5118
638	110034.0536
639	109951.6789
640	109811.8643
641	109632.9641
642	109509.892
643	109331.7288
644	109182.9113
645	109058.2173
646	108929.427
647	108783.3183
648	108713.6764
649	108644.8361
650	108540.6921
651	108407.5365
652	108359.2164
653	108246.3815
654	108106.2989
655	107998.8081
656	107884.8528
657	107784.7854
658	107673.6896
659	107496.7791
660	107235.9171
661	107144.7638
662	107058.8723
663	106946.2723
664	106901.9994
665	106806.3927
666	106696.7181
667	106532.4324
668	106481.7376
669	106433.2057
670	106375.7659
671	106304.0627
672	106200.4353
673	106048.7533
674	105994.3406
675	105918.4705
676	105785.0247
677	105690.5593
678	105595.7787
679	105469.8899
680	105400.5793
681	105194.5187
682	105095.3521
683	104980.7956
684	104775.8648
685	104710.9659
686	104534.7295
687	104467.4754
688	104364.5356
689	104258.4589
690	104197.9195
691	104137.9557
692	104014.8481
693	103921.6779
694	103829.1178
695	103738.0686
696	103485.046
697	103325.9504
698	103234.8332
699	103096.2455
700	103033.1516
701	102901.8681
702	102814.2466
703	102693.4572
704	102566.8241
705	102493.9353
706	102407.9655
707	102265.0003
708	102157.6789
709	102031.5008
710	101985.6624
711	101875.4036
712	101817.8554
713	101775.8784
714	101676.6842
715	101618.681
716	101438.2382
717	101285.4595
718	101174.0786
719	101061.3934
720	100918.151
721	100826.0584
722	100753.3748
723	100707.8794
724	100610.8924
725	100528.6608
726	100327.3473
727	100171.7038
728	100081.9204
729	100021.8123
730	99859.65746
731	99713.04158
732	99610.17095
733	99531.79833
734	99393.44372
735	99320.07713
736	99278.88423
737	99161.01669
738	99035.10734
739	98953.5911
740	98894.71482
741	98747.20661
742	98675.79967
743	98590.98322
744	98452.15462
745	98407.20027
746	98330.6352
747	98259.30981
748	98217.16727
749	98056.40021
750	97990.55194
751	97892.17225
752	97826.31394
753	97794.10607
754	97700.3209
755	97680.63283
756	97607.45224
757	97520.30175
758	97418.56685
759	97310.752
760	97246.6746
761	97151.12326
762	97042.15189
763	96896.02972
764	96841.27514
765	96734.63404
766	96617.79594
767	96510.96176
768	96355.0132
769	96225.87394
770	96168.58101
771	96087.02708
772	96007.41913
773	95976.41175
774	95829.60898
775	95691.76605
776	95686.05065
777	95641.27634
778	95553.94568
779	95463.28835
780	95349.15405
781	95175.14616
782	95067.9944
783	95020.23383
784	94893.96117
785	94834.37076
786	94772.32011
787	94683.32925
788	94615.80779
789	94563.96926
790	94484.91275
791	94348.95722
792	94279.73528
793	94206.45705
794	94161.97567
795	94020.5823
796	93987.53049
797	93865.6303
798	93820.63267
799	93727.30744
800	93628.66479
801	93508.04946
802	93437.059
803	93350.65621
804	93233.55001
805	93131.77658
806	93010.7822
807	92964.43756
808	92958.37599
809	92841.39605
810	92748.0003
811	92640.44541
812	92556.17138
813	92519.30535
814	92475.65176
815	92354.3703
816	92329.23624
817	92270.30225
818	92129.58148
819	92003.34435
820	91930.82531
821	91762.40317
822	91646.89101
823	91534.31029
824	91487.61205
825	91375.0877
826	91276.50334
827	91170.20793
828	91033.7986
829	90969.17778
830	90912.06692
831	90834.92149
832	90785.36783
833	90741.9764
834	90633.39897
835	90546.16306
836	90433.48337
837	90352.28067
838	90233.81714
839	90107.90874
840	89964.83711
841	89815.74751
842	89739.94044
843	89646.11165
844	89591.39727
845	89532.93434
846	89498.15142
847	89469.15603
848	89384.11596
849	89261.42939
850	89232.99512
851	89192.81361
852	89162.36777
853	89044.93003
854	88925.854
855	88816.55082
856	88721.77789
857	88677.45092
858	88609.60963
859	88505.33454
860	88392.49523
861	88388.14266
862	88306.83357
863	88263.11569
864	88181.81938
865	88111.52103
866	88077.27663
867	88002.53005
868	87899.77303
869	87831.75805
870	87724.15446
871	87677.03478
872	87616.09663
873	87546.42722
